Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
158,1153,1,30,2747,N,46,1445
158,1396,1,31,1469,UNKNOWN,284,1062
147,1190,1,80,2940,UNKNOWN,284,872
284,1045,0,14,1719,N,284,491
508,1409,1,24,1749,N,263,1268
497,1153,1,45,2740,N,51,1278
497,156,1,24,3490,N,51,1278
508,1190,1,62,1395,N,106,494
497,1153,1,80,1225,N,284,1268
682,865,1,3,3365,N,220,419
508,1190,1,9,1388,N,185,667
808,154,1,10,3234,N,158,1278
263,1190,0,80,2279,UNKNOWN,236,1063
808,1153,1,14,2326,N,185,1350
682,1109,1,35,3030,N,82,415
806,1190,1,10,2270,N,284,1468
508,167,1,39,2321,N,93,1268
508,1190,1,53,2198,N,109,1044
806,1153,0,29,516,N,56,1278
682,1109,1,79,2192,N,284,1533
763,1045,1,28,1404,N,278,1268
263,1190,1,1,2192,N,124,1268
508,1423,1,7,322,N,216,667
508,1423,0,3,1817,N,188,667
158,1409,0,80,3334,N,284,838
508,173,0,4,2269,N,117,415
263,857,1,2,1736,N,80,707
263,97,0,8,2997,N,284,1532
385,1153,1,39,1881,N,163,688
263,1109,0,5,1865,N,163,1268
263,1423,0,10,2268,N,142,1268
595,1045,1,10,1741,N,38,221
263,1190,0,4,3042,N,284,1268
263,1153,1,9,87,N,74,464
682,1409,1,22,1482,N,149,491
763,1036,1,43,670,Y,284,697
263,1190,1,80,1716,N,163,1268
497,1153,1,80,1377,N,163,1278
244,274,1,20,1384,N,124,1364
315,1036,0,59,670,Y,51,1268
263,1423,1,57,1670,N,195,363
681,1153,1,17,2052,N,60,1438
497,1150,1,66,2676,N,82,1351
263,852,1,40,1776,N,284,622
626,1153,1,4,670,Y,51,667
497,825,1,80,303,N,32,1268
263,1045,1,65,1376,N,255,667
656,274,1,35,782,UNKNOWN,284,1062
570,1153,1,14,1409,UNKNOWN,82,872
244,732,1,28,2375,N,284,1385
763,1190,1,45,670,Y,284,838
315,1112,1,51,1684,N,94,1248
147,649,1,79,1225,N,64,587
497,417,1,80,509,N,278,1268
672,417,1,28,3196,N,69,1268
183,1015,1,80,3601,N,284,578
763,1393,3,80,2732,N,284,1278
825,1190,0,13,670,Y,226,1212
497,1153,1,33,670,Y,64,377
497,1153,1,27,1449,N,21,240
