Area,Activity,Sex ,Age,Injury,Fatal(Y/N),Time,Species 
48,319,1,21,1,N,0,85
48,229,0,63,1,N,0,257
180,245,1,17,1,N,0,153
48,245,1,22,1,N,0,40
48,245,1,27,1,N,2,278
119,280,0,47,1,N,2,574
98,39,1,24,1,N,1,340
98,263,1,7,1,N,0,15
64,298,1,53,1,N,0,504
134,245,1,25,0,Y,0,620
119,156,0,15,1,N,0,218
48,245,1,39,1,N,2,44
48,245,1,14,1,N,2,66
27,337,1,25,1,N,1,217
179,1,1,29,0,Y,0,656
27,2,1,32,1,N,0,179
48,245,1,16,1,N,1,255
48,245,1,18,1,N,0,12
101,263,1,16,1,N,1,47
101,264,1,23,1,N,0,17
48,245,1,19,1,N,1,18
168,61,1,18,1,N,0,18
48,320,1,20,1,N,2,78
48,14,1,12,1,N,0,47
27,179,1,31,1,N,1,269
48,263,1,45,1,N,1,78
48,263,0,10,1,N,0,270
64,263,1,38,1,N,2,616
99,263,1,29,0,Y,0,86
8,186,1,47,0,Y,2,269
143,245,1,35,1,N,2,344
