Area,Activity,Sex ,Age,Injury,Fatal(Y/N),Time,Species 
Eastern Cape Province,Swimming / snorkeling,M,74,FATAL,Y,Morning,White shark
Western Australia,Diving for Abalone,M,55,Non_Fatal,N,Morning,White shark
California,Surfing,M,45,Non_Fatal,N,Morning,"White shark, 8' to 10'"
Florida,Wading,M,12,Non_Fatal,N,Afternoon,Small bull shark
Florida,Swimming,M,21,Non_Fatal,N,Afternoon,Bull shark
Florida,Surfing,F,13,Non_Fatal,N,Afternoon,3' shark
Florida,Surfing,M,43,Non_Fatal,N,Afternoon,3' shark
Florida,Standing,M,25,Non_Fatal,N,Afternoon,3' shark
Florida,Casting a net,M,9,Non_Fatal,N,Afternoon,4' shark
Bay of Biscay,Longline fishing for sharks,M,50,Non_Fatal,N,Evening,"Mako shark, 5'"
Hawaii,Snorkeling,F,20,FATAL,Y,Afternoon,Tiger shark?
South Carolina,Surfing,M,10,Non_Fatal,N,Evening,"Bull shark, 8'"
Florida,Fishing,M,17,Non_Fatal,N,Afternoon,"Bull shark, 6' to 8'"
Abaco Islands,Spearfishing,M,40,Non_Fatal,N,Afternoon,6' shark
Hawaii,Surfing,M,18,Non_Fatal,N,Afternoon,"Tiger shark, 8' to 10' "
Exuma Islands,Cleaning fish,M,64,Non_Fatal,N,Afternoon,Nurse shark
South Carolina,Swimming,M,14,Non_Fatal,N,Afternoon,4' to 5' shark
Hawaii,Swimming,M,28,Non_Fatal,N,Afternoon,"Tiger shark, 14'"
South Carolina,Boogie Boarding,F,10,Non_Fatal,N,Afternoon,4' to 5' shark
Santa Cruz Island,Surfing,M,29,Non_Fatal,N,Afternoon,Galapagos shark
Saint-Gilles,Body boarding,M,36,FATAL,Y,Morning,Bull shark
Florida,Surfing,M,16,Non_Fatal,N,Morning,a small shark
Quintana Roo,Swimming,F,34,Non_Fatal,N,Afternoon,Tiger shark
New South Wales,Fishing,M,51,Non_Fatal,N,Afternoon,"Grey nurse shark, 3m"
Florida,Playing in the surf,M,9,Non_Fatal,N,Morning,3' shark
